Name,UK £ TO EURO,JAPANESE YEN TO EURO,SWISS FRANC TO EURO
1990-08-03,1.429367791,0.005160758,0.570385581
1990-08-06,1.4278575,0.005089318,0.573657641
1990-08-07,1.43358899,0.00509684,0.573065903
1990-08-08,1.440984481,0.005127679,0.574217628
1990-08-09,1.438600529,0.005142446,0.573493147
1990-08-10,1.441857112,0.005143504,0.573756383
1990-08-13,1.437173941,0.005068681,0.577167263
1990-08-14,1.438476366,0.005084401,0.579911853
1990-08-15,1.438476366,0.005084401,0.579911853
1990-08-16,1.434781985,0.005126628,0.580046404
1990-08-17,1.435667729,0.005082592,0.583464613
1990-08-20,1.446361677,0.005144033,0.58411215
1990-08-21,1.450852376,0.005172235,0.584078033
1990-08-22,1.451420941,0.005175983,0.590807042
1990-08-23,1.46113384,0.005116398,0.595131822
1990-08-24,1.462565633,0.005139538,0.590632567
1990-08-27,1.45399558,0.0051565,0.588754784
1990-08-28,1.458214853,0.005226299,0.585205993
1990-08-29,1.46113384,0.005211591,0.587061172
1990-08-30,1.456133964,0.005240815,0.582716625
1990-08-31,1.435585288,0.005296049,0.585548659
1990-09-03,1.437793849,0.005337888,0.582377264
1990-09-04,1.4366784,0.005303633,0.581902822
1990-09-05,1.439511718,0.005358482,0.58411215
1990-09-06,1.439035271,0.005345593,0.581564408
1990-09-07,1.434802571,0.005389383,0.581970552
1990-09-10,1.429143086,0.005501155,0.581496773
1990-09-11,1.424298533,0.00551785,0.58045043
1990-09-12,1.43377398,0.005569479,0.582479031
1990-09-13,1.433835654,0.005583785,0.580652654
1990-09-14,1.435029059,0.005565759,0.583260426
1990-09-17,1.437690494,0.005489679,0.587682181
1990-09-18,1.441545337,0.005484862,0.585377276
1990-09-19,1.43465848,0.005490885,0.583975707
1990-09-20,1.430737975,0.005576001,0.581361549
1990-09-21,1.415328002,0.005597537,0.578134937
1990-09-24,1.428265372,0.005602869,0.582886454
1990-09-25,1.430021879,0.005526999,0.584180395
1990-09-26,1.421807686,0.005564521,0.58281851
1990-09-27,1.424947989,0.005513895,0.581496773
1990-09-28,1.4249886,0.005498735,0.585445817
1990-10-01,1.425374517,0.005496015,0.586579071
1990-10-02,1.423913198,0.005524251,0.583634878
1990-10-03,1.426472476,0.005510856,0.584214524
1990-10-04,1.423021644,0.005554321,0.583737085
1990-10-05,1.429163511,0.005637614,0.580922505
1990-10-08,1.466512194,0.005674081,0.576900888
1990-10-09,1.458810486,0.00566508,0.57846937
1990-10-10,1.456282402,0.005671828,0.579172941
1990-10-11,1.457619707,0.00570223,0.57597051
1990-10-12,1.455138093,0.005723116,0.576202823
1990-10-15,1.442543493,0.005769675,0.573624735
1990-10-16,1.439345961,0.005751423,0.574019861
1990-10-17,1.440859905,0.005842145,0.577167263
1990-10-18,1.434185239,0.005862008,0.576767793
1990-10-19,1.432480053,0.005771673,0.576036866
1990-10-22,1.430963181,0.005810575,0.575208513
1990-10-23,1.433753423,0.00577034,0.574184658
1990-10-24,1.43307538,0.005734603,0.576003686
1990-10-25,1.433938455,0.005775006,0.57477871
1990-10-26,1.438807516,0.005751423,0.574250603
1990-10-29,1.435132032,0.005720824,0.573657641
